avatar,avg_ec_live_uv,avg_ec_video_view_count,category_ids,creator_open_id,follower_count,gmv_range,nickname,selection_region,top_follower_demographics,username,gmv,video_gmv,live_gmv,batch_name
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1855721d9baed9cbdf7798cd4120d1f2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e63a20be&x-expires=1784725200&x-signature=dttlJFO2hLwWtPvoLNDHhnrjCOQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,1072,"['605196', '601739', '605248']",RKHNFgAAAACOV4AEeERJl-yievH_HBssHO7jK1FtTgYydoh50awjlA,1264,{'formatted_range': '₱10K+'},sicxt,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2505}}",sicxt18,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5fd3ffe37639255218fe7d30181db282~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=cb0261a4&x-expires=1784725200&x-signature=QQb5%2FllJ0g2Dy36UFsmpoZbOQWI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3315,753,"['603014', '600942', '600024']",jtOaGgAAAACOV4AEeERJl-yievH_HBss3gne-qpOAshN0EFeFBA0wg,6185,{'formatted_range': '₱10K+'},Global footwear co.,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4970}}",globalfootwearco,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/902db6bce9c24811988ff436d6e02127~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=099d7d7a&x-expires=1784725200&x-signature=7fy5AZ%2BKdinFWs6SXxjJynUdk9I%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,7,"['605196', '604579', '601739']",080XQQAAAACOV4AEeERJl-yievH_HBsswKESB9iQDZTdep8ct-DKhg,8322,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Project Moto PH🇵🇭,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 4421}}",earlbryanbautista,"{'amount': '13774.350231', 'currency': 'USD'}","{'amount': '10466.885001', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/0d0a25dc72139b76f4141b5c60c7e7b8~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=5d413280&x-expires=1784725200&x-signature=qNI3llUhhRdVFLj2WmNX%2Bpxs9T8%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,625,"['604453', '600001', '602284']",UfplXwAAAACOV4AEeERJl-yievH_HBsssn3cTiibuR4wEwsohNipeQ,16462,{'formatted_range': '₱10K+'},RADEN PANGESTU PRAWIJAYA,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 6178}}",radenpangestuprawijaya,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/5ebd7cbb5baf68dc72c7dbac33991225~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d42e5ec8&x-expires=1784725200&x-signature=PwyEtFZcMt2tT622kifeSVAe6uQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,991,"['603014', '824328', '601352']",eiGdewAAAACOV4AEeERJl-yievH_HBssmIQdXzWc2e9w75qkA4IHzw,55962,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mens_Department,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 6148}}",dumpnknnth,"{'amount': '15534.25457', 'currency': 'USD'}","{'amount': '15521.566286', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ec7b0e6497e88f3ddc9339c4920727ca~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=b8c64b9d&x-expires=1784725200&x-signature=6yJVgdQTNVT7D%2B%2BZ5euVsu1qeIY%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},935,1105,"['605196', '601739', '604579']",oSiYTwAAAACOV4AEeERJl-yievH_HBssawbaFsAO6cwgizOL5b63yQ,17697,{'formatted_range': '₱10K+'},ONLINESHOP,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5804}}",fypshop03,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/aaa104f0a530341bd325f88ab7f12cf3~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f6de3f81&x-expires=1784725200&x-signature=AJ3jl6CiU7%2B3KR0Q6BZCTvdE3tc%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},962,534,"['605196', '603014', '604579']",nrlXpwAAAACOV4AEeERJl-yievH_HBss6-Syx2gi3oTP3ZK4TabjAw,167158,{'formatted_range': '₱10K+'},IDOL WORKs🧑‍🔧,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 7119}}",mariomanuales,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/10538ff3f2ebd4db1656c7d619a97d1d~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=25e0035f&x-expires=1784725200&x-signature=mjNfvSa5PJfJNQeS2wu2sK645%2FA%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2781,0,"['605196', '603014', '605248']",6HEFVQAAAACOV4AEeERJl-yievH_HBssUWSADk-ZEN7xaRn-GNg1ug,319647,{'formatted_range': '₱10K+'},BOMRANGSIT.PH,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5561}}",bomrangsitph,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b255d44fb086c1756aa3415c9edfb1af~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=60a3c5a2&x-expires=1784725200&x-signature=368dpBDydfwYbNJhmiI%2BtcD7UQs%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2252,0,"['601739', '605248', '601450']",gBqQ1QAAAACOV4AEeERJl-yievH_HBssYdF5jAyF4KsJ74x6UpDvxg,6731,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Elmer Pablo,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5011}}",elmerpablo10,"{'amount': '21055.274162', 'currency': 'USD'}",,"{'amount': '20974.802399', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/0d4517587451dae9933acd01a9f3c8be~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=01a2a50d&x-expires=1784725200&x-signature=KGL3X9gVytLErJRLBjns0w2FT6s%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,357,"['605196', '600942', '604579']",iYMlDQAAAACOV4AEeERJl-yievH_HBssz-32cG8Fvrv9ER13PnlXwg,5568,{'formatted_range': '₱10K+'},CB shopping,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 3298}}",legit.motorshop.a,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/528b856d8e5ec4561c033e94aa2959f2~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=64062679&x-expires=1784725200&x-signature=uAsz6zYKHGh2M0AWpmQth3fRq8Y%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,359,"['602284', '601739']",GE5_sAAAAACOV4AEeERJl-yievH_HBssCH8TtbkT6LbBeUcRS9aUYA,8863,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Chantelle Finds ✨🪬,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3554}}",elles.shop8,"{'amount': '15945.195566', 'currency': 'USD'}","{'amount': '15945.195566', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/50c54047ea0b24f9917d7b60ebd61adf~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=46728e16&x-expires=1784725200&x-signature=9c2PlckgHiVJY1XDq2kaKBSax4U%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1794,388,"['603014', '604453', '802184']",fQglcQAAAACOV4AEeERJl-yievH_HBss3VJBnBKBn_emGG-C1QNraw,14383,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Babywaynescarlett,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4698}}",mavztuanz,"{'amount': '12251.447304', 'currency': 'USD'}","{'amount': '1819.781939', 'currency': 'USD'}","{'amount': '10431.665365', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/18a017e1aecaec64bf4276247097d304~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=1c4f9b6d&x-expires=1784725200&x-signature=FP2YrJPSIFVxm9904ktkJ%2BcfadU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,323,"['605196', '603014', '605248']",qsyFBgAAAACOV4AEeERJl-yievH_HBssMjRLUAj-7tLVkJEnwK4CUg,2681,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Mary's Shop🧿🛒,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 3614}}",marytabanao6,"{'amount': '10865.394246', 'currency': 'USD'}","{'amount': '10782.416682', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/8a36f73f764b30c1a075e59cd6c1ff2e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=5a416dad&x-expires=1784725200&x-signature=eLBphCIKigxRrS1RdTzcwZNiV0c%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2870,740,"['605248', '953224', '604453']",mX_kqgAAAACOV4AEeERJl-yievH_HBssGBJBv6ZGOVVKRbB1VVFlkA,129441,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",˚˖𓍢ִ໋ Naomi’s_Jewelry 🧚🏻 🪷,PH,"{'age_ranges': ['AGE_RANGE_35_44', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6299}}",naomi_tiktokshop,"{'amount': '25762.834394', 'currency': 'USD'}","{'amount': '962.703724', 'currency': 'USD'}","{'amount': '24447.649252', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/3f1db787ea3e841b69fabfc6535b8030~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=282ba6f2&x-expires=1784725200&x-signature=HNUJvPOnxmE0fBMW5KbMsjArAbo%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,198,"['605196', '604579', '600001']",Cq2JcgAAAACOV4AEeERJl-yievH_HBssCFP5zSZAEaqs21CiHcN7DA,5927,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",shiela Mae librando,PH,"{'age_ranges': ['AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 3815}}",brooshielashop,"{'amount': '11165.963588', 'currency': 'USD'}","{'amount': '11165.963588', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-maliva-avt-0068/4b7e52fd2c984890d91846141ae0ed71~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=228af748&x-expires=1784725200&x-signature=WmhUTlutYyRT0yiP0f1cP0zZ%2FQw%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2635,57,"['601739', '600001', '600942']",hTHiTgAAAACOV4AEeERJl-yievH_HBssgPr5IdjjeqeFr2IrnSo0BA,8792,"{'currency': 'USD', 'formatted_range': '₱10K+', 'maximum_amount': '10000', 'minimum_amount': '1000'}",kimchie LCD supplier💕🛍,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3928}}",kimchie0901,"{'amount': '9578.489748', 'currency': 'USD'}","{'amount': '2720.792331', 'currency': 'USD'}","{'amount': '6760.259164', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/b3e53854c9ededfb6851184007467595~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=eb2aa456&x-expires=1784725200&x-signature=8lDf8L6ElQqu0%2F5C4mYS8zqyc3E%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},5482,6256,"['601739', '605196', '601352']",tnR_twAAAACOV4AEeERJl-yievH_HBss5NV41CVhDtsWcHQt09uINA,18177,{'formatted_range': '₱10K+'},PHONE FINDS,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 3587}}",phone.finds3,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/c02a63eb294950fc2577c2f802d0f39e~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e3e39b9b&x-expires=1784725200&x-signature=Ot83%2BD1NnAYtoXEZovW9ar1TCAQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,45,"['604453', '601152']",AJ3PgwAAAACOV4AEeERJl-yievH_HBssF9po7eMpbfPCxijKt8tXpA,1853,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Unique Finds by CL,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2979}}",lheamartin03,"{'amount': '21647.403959', 'currency': 'USD'}","{'amount': '21642.738462', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/54e2ec2088ef5975f5d5f40db5c01711~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=93e93135&x-expires=1784725200&x-signature=cnXagFrmJsp6UrZkfaN4aQBh600%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},563,845,"['605196', '601152', '601739']",rbfRnwAAAACOV4AEeERJl-yievH_HBssswqtdF7vtioA10vGsZLkRA,10353,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Hircpowerdevelopment,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 6764}}",hirc.ph,"{'amount': '14400.854979', 'currency': 'USD'}","{'amount': '2272.151482', 'currency': 'USD'}","{'amount': '11563.28525', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ea0b0dc814e5cb89acbd3e4b3df4d381~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=a56d1e57&x-expires=1784725200&x-signature=%2FDonhlB0oD0xy9K5pMrxvn6OfhI%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,264,"['601739', '601755', '604968']",qnSBzwAAAACOV4AEeERJl-yievH_HBssms1XJ_YTMEdDhTPct5VqIQ,8594,{'formatted_range': '₱10K+'},Leo shop,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 2408}}",leo_go888,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/ba3022fe4ed34d6a742dc90d21783b2b~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=58d322bd&x-expires=1784725200&x-signature=8KKStmK9Fzabv36640OX5QnWt%2BQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1826,405,"['953224', '605248', '600001']",Scq8AQAAAACOV4AEeERJl-yievH_HBss9CSvOxgCoZe1pTNAnr-Ynw,287147,{'formatted_range': '₱10K+'},Fancy Diamanté,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 6988}}",fancydiamante,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/83335bcdca38d3ed4a0cf97d59c37045~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d55a6a83&x-expires=1784725200&x-signature=Dy9e4MkU1BOgUexlnK01PDFup5o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2950,882,"['604579', '605196', '604206']",AsGYNwAAAACOV4AEeERJl-yievH_HBssW-BgAPRpnn2mY07qTp9umg,17602,{'formatted_range': '₱10K+'},❗BODEGA PRICE❗,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'MALE', 'percentage': 4438}}",mharpowertools1820,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/5b51146c42a646d67abeeba7ee54570f~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=d311f857&x-expires=1784725200&x-signature=svwF6eexThnYeKQ6oNY57jDiv8A%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},5219,4901,"['604968', '601739']",sBKDrAAAAACOV4AEeERJl-yievH_HBssPXTeEO25wN-cJZE0jbEx3g,29390,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",X Space Gadgets,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_35_44'], 'major_gender': {'gender': 'FEMALE', 'percentage': 1805}}",xspacegadgets,"{'amount': '29724.464257', 'currency': 'USD'}","{'amount': '547.28907', 'currency': 'USD'}","{'amount': '29177.175187', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p19-common-sign.tiktokcdn.com/tos-alisg-avt-0068/1550a8c5c49293c88482af780d1a2cd7~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=e189c89e&x-expires=1784725200&x-signature=9y3G9WOv4LGtJsRfCcDCOCKun6o%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},551,416,"['605196', '600024', '601739']",nq1b9AAAAACOV4AEeERJl-yievH_HBsso5dhogAYNSU5J0DkBu_1_A,3920,{'formatted_range': '₱10K+'},XBEAST,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4296}}",chrls_jspe,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/3acb01ef4b5dee8c52427733e00cb084~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=cbeae72c&x-expires=1784725200&x-signature=iTHQagF4d3ZFmbQgdGqLrWlYXPg%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,240,"['601755', '600001', '603014']",qZWISwAAAACOV4AEeERJl-yievH_HBssF7YyNldVGbmGwgWD-Mmzcg,3878,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Snowky_finds,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 5030}}",snowky_finds,"{'amount': '15694.9016', 'currency': 'USD'}","{'amount': '15645.620204', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/2156a772b65773833d2cbd0633031502~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=87cf27e0&x-expires=1784725200&x-signature=Aw6OsG5uSPHezThGNgTXdU0e4Ck%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,1020,"['605196', '604968', '601352']",sBXaxwAAAACOV4AEeERJl-yievH_HBsssBFgyjyeJL3tlBr-M2J6qw,11851,{'formatted_range': '₱10K+'},BOSS KHEVS,PH,"{'age_ranges': ['AGE_RANGE_18_24', 'AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 4659}}",khevenmotoparts,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/01f3a923f763a027bb7f935b47ac631a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=dbb5b576&x-expires=1784725200&x-signature=Ymyp9Nl026G0uxnAY7dulJTfCms%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},3098,197,"['604968', '601739', '824328']",wpR13gAAAACOV4AEeERJl-yievH_HBsscu6HkGQtHQCnfQ5nGOVe_g,472,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",Tiktok Global Tech PH,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4348}}",tiktok.global.tec,"{'amount': '66522.576336', 'currency': 'USD'}","{'amount': '189.247272', 'currency': 'USD'}","{'amount': '66333.329064', 'currency': 'USD'}",GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-useast2a-avt-0068-giso/245ff62976212fce45922f80170b85d6~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=05c006e1&x-expires=1784725200&x-signature=Z%2FyWP%2B%2BUuDPdZIvTR7RSZloe%2Bq4%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},1375,3002,"['603014', '605196', '700437']",_4naEAAAAACOV4AEeERJl-yievH_HBss2289b0oS1NsB6bEzH6kdlA,25262,{'formatted_range': '₱10K+'},Papsbikeshopofficial,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'MALE', 'percentage': 5521}}",papsbikeshopofficial,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/4a82eb5d6e01abcb7c52a9c7d3ae5f6a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=abddc366&x-expires=1784725200&x-signature=sSIkGiNN%2BRD8AqHIi5IW%2BlZWOd0%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,1070,"['601739', '604206', '604968']",fxsl4gAAAACOV4AEeERJl-yievH_HBss-8zEEhsEjHyqh4arfbCmng,99465,{'formatted_range': '₱10K+'},Joson World Electronics PH,PH,"{'age_ranges': ['AGE_RANGE_25_34'], 'major_gender': {'gender': 'MALE', 'percentage': 5429}}",joson.official.store,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/8112c4c46afbd271886eb25b8803adbb~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=ab92111b&x-expires=1784725200&x-signature=TgbuWMHvhoPI8GO9f%2FlnlLiY0IQ%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},0,844,"['605196', '603014', '604453']",R9LDcwAAAACOV4AEeERJl-yievH_HBsseBzxqPLQlkOEjgaNhVJYcw,1791,"{'currency': 'USD', 'formatted_range': '₱10K+', 'minimum_amount': '10000'}",kate,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 2580}}",kate_shop8,"{'amount': '27287.582406', 'currency': 'USD'}","{'amount': '27273.317631', 'currency': 'USD'}",,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
{'url': 'https://p16-common-sign.tiktokcdn.com/tos-alisg-avt-0068/9657e4ba6d85ed12b2d2adc885a9c10a~tplv-tiktokx-cropcenter:720:720.webp?dr=14579&refresh_token=f145e9ab&x-expires=1784725200&x-signature=Jf2erXoc8VgoHDWGi34DdBqtcfU%3D&t=4d5b0474&ps=13740610&shp=a5d48078&shcp=39dffb78&idc=my2'},2703,0,"['601739', '600001', '824584']",ZM077wAAAACOV4AEeERJl-yievH_HBssVGO8kmgQ0G4P619WQYEFTA,423165,{'formatted_range': '₱10K+'},Princess Ken,PH,"{'age_ranges': ['AGE_RANGE_25_34', 'AGE_RANGE_18_24'], 'major_gender': {'gender': 'FEMALE', 'percentage': 4984}}",princessken014,,,,GMV_RANGE_10000_AND_ABOVE-UNITS_SOLD_RANGE_100_1000
